idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib",30,30,43.10,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0001__NN_rul_small_window_20__robustness_2perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0001__NN_rul_small_window_20__robustness_2perturbations_delta5_epsilon10_w20.log"
2,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib",30,30,12.49,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0002__NN_rul_small_window_20__robustness_2perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0002__NN_rul_small_window_20__robustness_2perturbations_delta10_epsilon10_w20.log"
3,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta20_epsilon10_w20.vnnlib",60,60,10.56,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0003__NN_rul_small_window_20__robustness_2perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0003__NN_rul_small_window_20__robustness_2perturbations_delta20_epsilon10_w20.log"
4,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta40_epsilon10_w20.vnnlib",60,60,10.99,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0004__NN_rul_small_window_20__robustness_2perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0004__NN_rul_small_window_20__robustness_2perturbations_delta40_epsilon10_w20.log"
5,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta5_epsilon10_w20.vnnlib",60,60,68.11,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0005__NN_rul_small_window_20__robustness_4perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0005__NN_rul_small_window_20__robustness_4perturbations_delta5_epsilon10_w20.log"
6,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta10_epsilon10_w20.vnnlib",60,60,72.46,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0006__NN_rul_small_window_20__robustness_4perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0006__NN_rul_small_window_20__robustness_4perturbations_delta10_epsilon10_w20.log"
7,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta20_epsilon10_w20.vnnlib",120,120,135.76,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0007__NN_rul_small_window_20__robustness_4perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0007__NN_rul_small_window_20__robustness_4perturbations_delta20_epsilon10_w20.log"
8,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta40_epsilon10_w20.vnnlib",120,120,131.13,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0008__NN_rul_small_window_20__robustness_4perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0008__NN_rul_small_window_20__robustness_4perturbations_delta40_epsilon10_w20.log"
9,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_8perturbations_delta5_epsilon10_w20.vnnlib",120,120,18.37,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0009__NN_rul_small_window_20__robustness_8perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0009__NN_rul_small_window_20__robustness_8perturbations_delta5_epsilon10_w20.log"
10,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_8perturbations_delta10_epsilon10_w20.vnnlib",120,120,17.43,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0010__NN_rul_small_window_20__robustness_8perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/collins_rul_cnn_2022/0010__NN_rul_small_window_20__robustness_8perturbations_delta10_epsilon10_w20.log"
