idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/pensieve_small_simple.onnx","vnnlib/pensieve_simple_0.vnnlib",30,30,1.89,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0001__pensieve_small_simple__pensieve_simple_0.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0001__pensieve_small_simple__pensieve_simple_0.log"
2,"onnx/pensieve_big_parallel.onnx","vnnlib/pensieve_parallel_1.vnnlib",30,30,14.22,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0002__pensieve_big_parallel__pensieve_parallel_1.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0002__pensieve_big_parallel__pensieve_parallel_1.log"
3,"onnx/pensieve_small_simple.onnx","vnnlib/pensieve_simple_2.vnnlib",30,30,2.53,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0003__pensieve_small_simple__pensieve_simple_2.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0003__pensieve_small_simple__pensieve_simple_2.log"
4,"onnx/pensieve_small_simple.onnx","vnnlib/pensieve_simple_3.vnnlib",30,30,1.01,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0004__pensieve_small_simple__pensieve_simple_3.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0004__pensieve_small_simple__pensieve_simple_3.log"
5,"onnx/pensieve_small_parallel.onnx","vnnlib/pensieve_parallel_4.vnnlib",30,30,1.15,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0005__pensieve_small_parallel__pensieve_parallel_4.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0005__pensieve_small_parallel__pensieve_parallel_4.log"
6,"onnx/pensieve_small_simple.onnx","vnnlib/pensieve_simple_5.vnnlib",30,30,1.50,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0006__pensieve_small_simple__pensieve_simple_5.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0006__pensieve_small_simple__pensieve_simple_5.log"
7,"onnx/pensieve_mid_simple.onnx","vnnlib/pensieve_simple_6.vnnlib",30,30,2.90,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0007__pensieve_mid_simple__pensieve_simple_6.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0007__pensieve_mid_simple__pensieve_simple_6.log"
8,"onnx/pensieve_big_simple.onnx","vnnlib/pensieve_simple_7.vnnlib",30,30,1.28,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0008__pensieve_big_simple__pensieve_simple_7.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0008__pensieve_big_simple__pensieve_simple_7.log"
9,"onnx/pensieve_big_parallel.onnx","vnnlib/pensieve_parallel_8.vnnlib",30,30,1.97,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0009__pensieve_big_parallel__pensieve_parallel_8.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0009__pensieve_big_parallel__pensieve_parallel_8.log"
10,"onnx/pensieve_small_parallel.onnx","vnnlib/pensieve_parallel_9.vnnlib",30,30,2.05,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0010__pensieve_small_parallel__pensieve_parallel_9.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/nn4sys/0010__pensieve_small_parallel__pensieve_parallel_9.log"
